Category,SkillName
Core Skills,Flutter & Dart
Core Skills,Provider / Bloc State Management
Core Skills,Clean Architecture
Core Skills,Android Development
Core Skills,Responsive UI Design
Core Skills,Performance Optimization
Core Skills,REST API Integration
Core Skills,Firebase (Auth + Firestore)
Tools,Git & GitHub
Tools,VS Code
Tools,Android Studio
Tools,Postman
Tools,SQLite & Hive
Tools,SharedPreferences
Tools,JSON APIs
Soft Skills,Problem Solving
Soft Skills,Communication
Soft Skills,Time Management
Soft Skills,Rapid Learning
Soft Skills,Teamwork & Independence
Soft Skills,Adaptability
